productCode,prodName,productTypeNo,productTypeName,productGroupName,garmentGroupNo,garmentGroupName,detailDesc
457722,Axel fancy denim shorts (1),274,Shorts,Garment Lower body,1025,Shorts,"5-pocket shorts in washed denim with hard-worn details, a regular waist, zip fly and button, and raw-edge hems."
457892,Fox (1),273,Leggings/Tights,Garment Lower body,1002,Jersey Basic,Leggings in sturdy jersey with wide elastication at the waist.
458032,WILDER,87,Boots,Shoes,1020,Shoes,"Ankle boots with a zip in one side and a loop at the back. Satin linings, imitation leather insoles and rubber soles. Heel approx. 6.5 cm."
458239,Tess CN Unique,265,Dress,Garment Full body,1002,Jersey Basic,Short-sleeved dress in soft cotton jersey.
458393,SERENA 2p tank,253,Vest top,Garment Upper body,1002,Jersey Basic,Tops in cotton jersey with narrow shoulder straps.
458428,Cobra Constructed,272,Trousers,Garment Lower body,1009,Trousers,"5-pocket jeans in washed stretch denim with a regular waist, button fly and skinny legs with quilted sections on the knees."
458543,Lazer Razer Push Up,298,Bikini top,Swimwear,1018,Swimwear,"Fully lined bikini top with laser-cut scalloped edges. Underwired, moulded, padded cups that lift and shape, ties at the back of the neck and an adjustable metal fastener at the back."
458882,Gardenia Shirt (1),259,Shirt,Garment Upper body,1010,Blouses,"Wide shirt in a soft, patterned viscose weave with a collar, buttons down the front and 3/4-length sleeves with buttoned cuffs. Slightly longer at the back."
458924,Pablo round neck,254,Top,Garment Upper body,1005,Jersey Fancy,Short-sleeved top in linen jersey with a round neck and rounded hem.
458925,Javier,254,Top,Garment Upper body,1005,Jersey Fancy,"Wide-fitting, sleeveless top in linen jersey with a gently rounded hem."
459428,Jerry Hood,262,Jacket,Garment Upper body,1005,Jersey Fancy,"Long T-shirt in jersey with a washed look, with a drawstring hood, short sleeves with sewn-in turn-ups, and a rounded, raw-edge hem."
461327,Rollerneck Charlie TVP,252,Sweater,Garment Upper body,1003,Knitwear,Polo-neck jumper in fine-knit premium cotton with ribbing at the cuffs and hem.
462435,6P Tanktopbody pack,256,Bodysuit,Garment Upper body,1002,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
463970,Greta Hipster Ch. (Poppy) L 3p,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Hipster briefs in jersey made from a cotton blend with lace trims, a low waist, lined gusset, wide sides and cutaway coverage at the back."
464277,Greta Shortie (Daisy Mid) 3p,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Shortie briefs in cotton with a mid waist, lined gusset, low-cut legs and medium coverage at the back."
464297,Greta Thong Mynta Low 3p,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Thong briefs in cotton jersey with a wide lace trim at the top. Low waist, lined gusset, narrow sides and a string back."
464454,TANJA SKIRT,275,Skirt,Garment Lower body,1012,Skirts,Long skirt in an airy weave with an elasticated waist and high slits in the sides. Short underskirt.
464679,Kim 2p padded BIG,306,Bra,Underwear,1017,"Under-, Nightwear","Bras in cotton jersey with underwired, padded cups that shape the bust and provide extra-firm support. Wide, adjustable shoulder straps and a hook-and-eye fastening at the back."
464908,Liza Thong Low (Malva) 3pk,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Thong briefs in microfibre with a low waist, lined gusset, narrow sides and string back."
464927,Ivory Ch. braz. Low Acacia 3pk,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Brazilian briefs in cotton jersey and lace with a low waist, lined gusset and half-string back."
465655,Ginger Thong Maple Low 3p,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Thong briefs in cotton jersey and lace with a low waist, lined gusset, wide sides and string back."
467738,Aiden Belt,67,Belt,Accessories,1019,Accessories,Leather belt with a metal buckle. Width 3.5 cm.
468480,Mom Shorts,274,Shorts,Garment Lower body,1016,Trousers Denim,"5-pocket, high-waisted shorts in washed denim with hard-worn details."
469021,Harry Herringbone,80,Scarf,Accessories,1019,Accessories,Herringbone-patterned scarf in soft fabric with fringes along the short sides. Size 50x190 cm.
469039,Henrik ballerina,86,Ballerinas,Shoes,1020,Shoes,
469137,Juan lace strap top,254,Top,Garment Upper body,1005,Jersey Fancy,"Top in softly draping, ribbed jersey with a sheen. Narrow shoulder straps, a V-neck at the front and a lace trim at the top."
469562,Skinny denim (1),272,Trousers,Garment Lower body,1009,Trousers,"Jeans in washed, stretch denim with fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for best fit over the tummy."
469658,Spice Girl 3pk hipster,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Hipster briefs in microfibre with lace trims, a low waist, lined gusset, wide sides and cutaway coverage at the back."
470111,MC Gyda blouse,258,Blouse,Garment Upper body,1010,Blouses,"Straight blouse in a soft woven fabric with a collar, concealed buttons, long sleeves with buttoned cuffs and a gently rounded hem."
470167,Coski Conscious Scarf,80,Scarf,Accessories,1019,Accessories,Scarf in a soft weave with fringes on the short sides. The scarf is made partly from recycled polyester. Size 52x190 cm.
470636,Ivy jumpsuit W,267,Jumpsuit/Playsuit,Garment Full body,1013,Dresses Ladies,"Playsuit in a viscose weave with a V-neck, narrow, adjustable shoulder straps, an elasticated seam at the waist and front pockets."
470789,OP Brazilian 2p Low (Acacia),286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Microfibre Brazilian briefs with laser-cut edges, a low waist, lined gusset, wide sides and half-string back."
470985,Vaughan sneaker,94,Sneakers,Shoes,1020,Shoes,Trainers in cotton canvas with lacing at the front and a loop at the back. Cotton linings and insoles and thermoplastic rubber (TPR) soles.
471566,OL STAFFAN PQ loafer,94,Sneakers,Shoes,1020,Shoes,Leather loafers with pointed toes and a tab across the front. Leather linings and insoles and rubber soles. Heel 3.5 cm.
471714,Roy Shorts,274,Shorts,Garment Lower body,1025,Shorts,"Knee-length shorts in a cotton weave with a button fly, side pockets and a welt back pocket with a button."
472755,Ben runner gloves,71,Gloves,Accessories,1019,Accessories,"Running gloves with uppers in windproof, functional fabric. Wide ribbing and a reflective print at the top. Small key pocket with a concealed zip on the back of one glove. The tops of the thumb and index finger are made from touchscreen-compatible material. Unlined."
473507,Lindsay shopper,66,Bag,Accessories,1019,Accessories,Shopper in supple imitation leather with two handles and a magnetic fastener at the top. Unlined. Size 17x28x32.5 cm.
473954,OP Cheeky hipster 2p,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Microfibre hipster briefs with a low waist, lined gusset, wide sides and cutaway coverage at the back."
474123,Mona top,253,Vest top,Garment Upper body,1005,Jersey Fancy,"Top in washed jersey with narrow shoulder straps and deep armholes in a wide style with a decorative seam at the back. Raw-edge, rounded hem that is short at the front and longer at the back."
474461,EVERT SHORTS,274,Shorts,Garment Lower body,1025,Shorts,"Chino shorts in washed cotton poplin with a zip fly, side pockets, welt back pockets with a button and legs with creases."
474471,Jones 5-pkt Slim Shorts,274,Shorts,Garment Lower body,1025,Shorts,Long 5-pocket shorts in cotton twill with a regular waist and slightly lower crotch.
475791,Pontus Espadrill.,91,Sandals,Shoes,1020,Shoes,"Espadrilles in fabric with a braided jute trim around the soles, elastic gores in the sides and a loop at the back. Cotton canvas linings and insoles and thermoplastic rubber (TPR) soles."
476315,Fav polo solid,257,Polo shirt,Garment Upper body,1005,Jersey Fancy,"Short-sleeved polo shirt in cotton jersey with a collar, button placket and slits in the sides."
476583,Madeleine cropped,255,T-shirt,Garment Upper body,1002,Jersey Basic,"Fitted, cropped top in jersey made from a cotton blend."
477507,Trisha tee dress(1),265,Dress,Garment Full body,1002,Jersey Basic,"Short, straight-cut dress in jersey made from a cotton blend with short sleeves."
478298,2p jersey headband,74,Hair/alice band,Accessories,1019,Accessories,Hairbands in elasticated cotton jersey.
478549,Eagel PU Pants Slim RW,272,Trousers,Garment Lower body,1009,Trousers,5-pocket trousers in imitation leather with a regular waist and slim legs.
478646,Basic Gigi necklace,77,Necklace,Accessories,1019,Accessories,"Short, three-strand necklace made up of different metal chains, the longest with a round pendant. Adjustable length, 42-49 cm."
478992,Jones Denim Slim Shorts,274,Shorts,Garment Lower body,1025,Shorts,"Long, 5-pocket denim shorts with a regular waist, zip fly and button, slightly lower crotch and slim legs."
479167,Stevie strapless superpush,306,Bra,Underwear,1017,"Under-, Nightwear","Bra in soft microfibre with underwired, moulded, thickly padded cups to maximise the bust and create a fuller cleavage. Detachable, adjustable shoulder straps and a silicone trim at the back to hold the bra in place. Wide hook-and-eye fastening at the back."
479227,Stacy,255,T-shirt,Garment Upper body,1002,Jersey Basic,"Wide top in soft, crêped viscose jersey with short cap sleeves and a gently rounded hem."
480093,Box 3p Tights 40 den,-1,Unknown,Unknown,1021,Socks and Tights,Tights with an elasticated waist. 40 denier.
480304,Ross Heat,255,T-shirt,Garment Upper body,1005,Jersey Fancy,T-shirt in printed cotton jersey.
481110,Marigold SP Andes^,306,Bra,Underwear,1017,"Under-, Nightwear","Super push-up bra in microfibre and lace with underwired, thickly padded cups to maximise the bust and create a fuller cleavage. Narrow, adjustable shoulder straps and a narrow fastening at the back with two pairs of hooks and eyes."
481245,Tove SP Andes,306,Bra,Underwear,1017,"Under-, Nightwear","Push-up bra in mesh and satin with underwired, thickly-padded cups to maximise the bust and create a fuller cleavage. Narrow, adjustable shoulder straps and a narrow fastening at the back with two pairs of hooks and eyes."
481781,Malin sunglasses,81,Sunglasses,Accessories,1019,Accessories,"Round sunglasses with metal and plastic frames and tinted, UV-protective lenses."
482207,Missy elliot long shirt,258,Blouse,Garment Upper body,1010,Blouses,"Tunic in soft fabric with a collar, buttons down the front, long sleeves with two buttons at the cuffs, and a rounded hem."
483633,Webra,265,Dress,Garment Full body,1013,Dresses Ladies,"Knee-length sleeveless dress in a softly textured weave with a low-cut V-neck at the back. Concealed zip, wide decorative band at the waist and two slits at the front. Unlined."
484205,Jacket Core,262,Jacket,Garment Upper body,1016,Trousers Denim,"Jacket in washed denim with worn details and buttons down the front. Flap chest pockets with a button, side pockets, buttons at the cuffs and an adjustable tab at the sides of the hem. The cotton content of the jacket is partly recycled."
484398,SUPREME tights,273,Leggings/Tights,Garment Lower body,1005,Jersey Fancy,Sports tights in fast-drying functional fabric with wide ribbing to hold in and shape the waist. Concealed mesh key pocket in the waistband.
485176,Tikki Pull-on TRS,272,Trousers,Garment Lower body,1009,Trousers,"Wide trousers in a cool viscose weave with an elasticated waist, side pockets and tapered legs."
485240,Watch Planck Leather,85,Watch,Accessories,1019,Accessories,"Watch in stainless steel with an adjustable leather strap and metal buckle. Width of strap approx. 2 cm, total length 23 cm. Diameter of watch 3.6 cm."
485537,TP Valter pj SB,297,Pyjama set,Nightwear,1017,"Under-, Nightwear",Pyjamas in soft ribbed cotton jersey with contrasting colour ribbing. Long-sleeved top. Bottoms with an elasticated waist.
485551,Trosa onezie SB,295,Pyjama jumpsuit/playsuit,Nightwear,1017,"Under-, Nightwear",All-in-one pyjamas in soft cotton jersey with a contrasting colour press-stud placket and ribbing.
485973,Nilsson Top,255,T-shirt,Garment Upper body,1005,Jersey Fancy,"V-neck top in soft slub jersey with short sleeves, a seam centre back and a rounded hem. Longer at the back."
486639,Jackie brief 2pk HR LS,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Shaping briefs in microfibre with a lined gusset, high waist with a laser-cut edge, and wide lace trims at the hems. Light shaping effect on the waist, hips and bum."
486782,Ivory Bikini Mid (Calla)3p,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Bikini briefs in cotton jersey with lace trims, a low waist, lined gusset and medium coverage at the back."
487050,TP Axel 5-p anklesock SB,302,Socks,Socks & Tights,1021,Socks and Tights,Jacquard-knit socks in a soft cotton blend with elasticated tops.
487207,Bob sport 5-p midshaft SB,302,Socks,Socks & Tights,1021,Socks and Tights,Fine-knit sports socks in a soft cotton blend.
487722,Charlotte Body Push Melbourne,283,Underwear body,Underwear,1017,"Under-, Nightwear","Lace push-up body with underwired, moulded, padded cups for a larger bust and fuller cleavage, and a string at the back. Narrow, adjustable shoulder straps, an opening with a hook-and-eye fastening at the back and a lined gusset with concealed press-studs."
487750,LARISSA hood,308,Hoodie,Garment Upper body,1002,Jersey Basic,"Jacket in lightweight sweatshirt fabric with a hood, zip down the front, side pockets and ribbing at the cuffs and hem."
487827,Super soft,272,Trousers,Garment Lower body,1016,Trousers Denim,"5-pocket, high-waisted jeans in washed stretch denim with worn details, a zip fly and button and skinny legs."
488012,TP Axel 5-p anklesock BB,302,Socks,Socks & Tights,1021,Socks and Tights,Jacquard-knit socks in a soft cotton blend with elastication around the top.
488016,TP Weekday 7-p anklesock BB,302,Socks,Socks & Tights,1021,Socks and Tights,Fine-knit socks in a soft cotton blend with elasticated tops.
488546,Sienna biker,262,Jacket,Garment Upper body,1007,Outdoor,"Biker jacket with quilted shoulders, a tab with a press-stud at the neck and a diagonal zip down the front. Zipped side pockets, a small decorative flap front pocket and long sleeves with sturdy ribbed jersey undersides and a zip at the cuffs. Lined."
488561,Teddy jogger.,274,Shorts,Garment Lower body,1025,Shorts,"Knee-length shorts in soft washed cotton with an elasticated drawstring waist, fake fly, side pockets and welt back pockets with a button."
488564,Plexi plizze,254,Top,Garment Upper body,1005,Jersey Fancy,Sleeveless top in pleated jersey with a slight sheen.
488614,Ellen Hipster Ch. Poppy 3p,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Hipster briefs in organic cotton jersey with a low waist, lined gusset and cutaway coverage at the back."
488697,Nohar Sneaker,94,Sneakers,Shoes,1020,Shoes,Slip-on trainers with elastic gores in the sides and a loop at the back. Imitation cork insoles and textured rubber soles.
489217,Carolina Boot,87,Boots,Shoes,1020,Shoes,"Ankle boots in imitation suede with lacing at the front, a loop at the back, pile linings and insoles and chunky rubber soles. Heel 3.5 cm."
489435,Riri sandalina,91,Sandals,Shoes,1020,Shoes,Sandals with open sides and toes and crossover straps at the front. Imitation leather insoles.
490113,Lola Denim Shorts,274,Shorts,Garment Lower body,1025,Shorts,"Short, 5-pocket shorts in washed, slightly stretchy cotton denim with worn details. High waist, a zip fly and button, and raw-edge hems."
490176,Daiquiri Pull- On TRS,272,Trousers,Garment Lower body,1009,Trousers,Trousers in a viscose weave with an elasticated drawstring waist in a relaxed fit with a slightly lower crotch. Pockets in the side seams and tapered legs with elasticated hems.
490436,Alice Lace Bandeau 2p,306,Bra,Underwear,1017,"Under-, Nightwear","Two soft bandeau bras in jersey with a lace section at the back, side support and a silicone trim at the top. Lined at the front."
490473,Basic 5p Shaftless,302,Socks,Socks & Tights,1021,Socks and Tights,Fine-knit trainer socks in a soft cotton blend.
490676,Joe chinos,272,Trousers,Garment Lower body,1009,Trousers,"Chinos in washed stretch cotton twill with an adjustable elasticated waist and zip fly. Side pockets, a coin pocket, fake back pockets and slim legs."
490793,Boulevard tee,255,T-shirt,Garment Upper body,1005,Jersey Fancy,Short-sleeved jersey top with a motif.
490794,Zebra sweater,252,Sweater,Garment Upper body,1005,Jersey Fancy,"Top in light, printed sweatshirt fabric with dropped shoulders, long sleeves and ribbing around the neckline,cuffs and hem."
491532,S/S Polo Harley,257,Polo shirt,Garment Upper body,1003,Knitwear,"Polo shirt in premium cotton piqué with a ribbed collar, button placket, short sleeves with ribbed trims, and short slits in the sides."
491912,Kennedy (1),272,Trousers,Garment Lower body,1009,Trousers,"Chinos in washed cotton twill with a regular waist, zip fly and button, side pockets, welt back pockets and skinny legs. Skinny fit."
491913,Heath,272,Trousers,Garment Lower body,1009,Trousers,"Chinos in soft, washed cotton twill with a zip fly, side pockets and welt back pockets. Slim fit which is relaxed over the thighs and tapers from the knees down for a relaxed, well-tailored look."
492171,Straight Mezzo (1),272,Trousers,Garment Lower body,1016,Trousers Denim,"5-pocket jeans in washed denim with a regular waist, button fly and straight legs."
492244,The Rebounder tie tanga,59,Swimwear bottom,Swimwear,1018,Swimwear,Fully lined bikini bottoms with a low waist and ties at the sides.
492245,The Rebounder Padded Triangle,298,Bikini top,Swimwear,1018,Swimwear,"Lined triangle bikini top with moulded, lightly padded cups and ties at the neck and back."
492567,ANKI moulded halterneck,298,Bikini top,Swimwear,1018,Swimwear,"Fully lined bikini top with underwired, moulded, lightly padded cups, frill trims at the top and a knot detail at the front. Narrow ties at the back of the neck and an adjustable metal fastener at the back."
492892,Adhesive push bra,306,Bra,Underwear,1017,"Under-, Nightwear","Bra with self-adhesive cups and no shoulder straps or back making it perfect for wearing under strapless or backless garments. Front fastening. Moulded, padded cups for a larger bust and fuller cleavage. Can be washed and reused."
492897,Alba Push-Up Biker HW FS,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Bikers in jersey with a firm shaping effect on the tummy and thighs and a push-up effect on the bum. High waist and a lined gusset. The bikers are designed with the minimum number of seams for a seamless, comfortable feel against the skin."
493103,Basic tights 2-pack,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,"Tights in a soft, fine-knit cotton blend with an elasticated waist."
493438,Leo seamless t-shirt (1),255,T-shirt,Garment Upper body,1005,Jersey Fancy,
493826,EDWARD,87,Boots,Shoes,1020,Shoes,"Chelsea boots with elastic gores in the sides, a loop at the back, fabric linings and insoles, and rubber soles. Heel 4 cm."
493995,Manacor,87,Boots,Shoes,1020,Shoes,"Ankle boots with a zip in the side, satin linings, imitation leather insoles and rubber soles. Covered heel approx. 6 cm."
494030,Tika,253,Vest top,Garment Upper body,1002,Jersey Basic,Sleeveless V-neck top in soft viscose jersey with a rounded hem and slits in the sides.
494094,Flipflop solid,88,Flip flop,Shoes,1020,Shoes,Flip-flops with rubber straps and fluted rubber soles.
494691,Skinny HW Ankle Phoenix 14.99,272,Trousers,Garment Lower body,1016,Trousers Denim,"Ankle-length jeans in washed, stretch denim with a high waist, fake pockets at the front, real pockets at the back and skinny legs."
494910,Napoli,265,Dress,Garment Full body,1013,Dresses Ladies,"Short satin dress with wide shoulder straps, a wide double flounce at the top and gentle flare to the hem. Lined."
495030,5pk invisble sock,302,Socks,Socks & Tights,1021,Socks and Tights,Socks in a fine-knit cotton blend designed to be hidden inside your shoes. The socks have elastication around the openings and a concealed silicone trim around the heel for best fit.
495418,Tove Hipster Ch. Pet. Mid,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Hipster briefs in microfibre with mesh details, a mid waist, lined gusset, wide sides and cutaway coverage with gathered detailing at the back."
495573,Majken strapless balconette,306,Bra,Underwear,1017,"Under-, Nightwear","Balconette bra in microfibre and lace with underwired, padded cups that lift and shape. Narrow, detachable shoulder straps that can be fastened in several different ways and a fastening at the back with three pairs of hooks and eyes."
495685,Rollerneck Blenheim TVP,252,Sweater,Garment Upper body,1003,Knitwear,Fine-knit polo-neck jumper in soft merino wool with long sleeves and ribbing at the cuffs and hem.
495733,CA Mark Flanel TVP,259,Shirt,Garment Upper body,1011,Shirts,"Shirt in soft, lightweight premium cotton flannel with a cutaway collar and French front. Open chest pocket, yoke at the back, long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently shaped waist to create a comfortable, tailored silhouette."
496111,Devon basic sweater,252,Sweater,Garment Upper body,1003,Knitwear,"Jumper in a soft knit with visible seams at the front, dropped shoulders, long sleeves and ribbed roll edges at the cuffs and hem."
496159,Poppins pompom beanie (1),75,Hat/beanie,Accessories,1019,Accessories,Rib-knit hat containing some wool with a faux fur pompom on the top.
496735,Ellen Push (Melbourne) 2p,306,Bra,Underwear,1017,"Under-, Nightwear","Push-up bras in organic cotton jersey with underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a narrow fastening at the back with two pairs of hooks and eyes."
496762,Summer strap dress,265,Dress,Garment Full body,1002,Jersey Basic,"Short dress in soft jersey with a V-neck, narrow, adjustable shoulder straps, seam at the waist and flared skirt."
496923,Kenzy Denim Dungaree,268,Dungarees,Garment Full body,1025,Shorts,"Short dungaree shorts in washed denim with hard-worn details, adjustable straps and a fake fly. Front pocket, side pockets, back pockets, buttons at the sides and sewn-in turn-ups at the hems."
497224,SB Matt board shorts,59,Swimwear bottom,Swimwear,1018,Swimwear,Printed swim shorts with an elasticated waist with ties. Mesh inner shorts.
497513,SPEED Twiggy paddedsoftbra,306,Bra,Underwear,1017,"Under-, Nightwear",Non-wired lace triangle bra with mesh-lined cups that give the bust a natural shape and light support. Narrow adjustable shoulder straps that divide into two at the front. Narrow fastening at the back with two pairs of hooks and eyes and an elasticated hem.
497640,D. Kurt Denim (1),262,Jacket,Garment Upper body,1007,Outdoor,"Jacket in washed denim with a collar and buttons down the front. Flap chest pockets with a button, side pockets, buttoned cuffs and an adjustable tab and buttons at the sides."
497642,Espen puffer,308,Hoodie,Garment Upper body,1007,Outdoor,"Short, padded jacket in woven fabric with a lined hood with a collar and drawstring, and a zip at the front. Flap side pockets with a press-stud, one inner pocket with a hook and loop fastener and ribbing at the cuffs and hem. Polyester filling. Lined."
497787,Pat ls shirting,259,Shirt,Garment Upper body,1011,Shirts,"Shirt in fil à fil cotton with a button-down collar and open chest pocket. Long sleeves with adjustable buttoning at the cuffs and a rounded hem. Slightly longer at the back. Regular fit – a classic fit with good room for movement and a gently shaped waist to create a comfortable, tailored silhouette."
498738,SUPREME FANCY TIGHTS,272,Trousers,Garment Lower body,1001,Unknown,Printed sports tights in fast-drying functional fabric with ribbing at the waist.
498779,Sheba maxi dress,265,Dress,Garment Full body,1013,Dresses Ladies,"Long, sleeveless dress in a viscose weave with narrow, adjustable shoulder straps, a V-neck with a sewn-in wrapover and a seam at the waist with ties at one side. Unlined."
499334,Braces Basic 3-clip,499,Braces,Accessories,1019,Accessories,Adjustable elastic braces with metal fasteners and imitation leather details.
499807,Cool Bridget sunglasses,81,Sunglasses,Accessories,1019,Accessories,"Sunglasses with metal frames and tinted, UV-protective lenses."
501323,Thomas paperbag,272,Trousers,Garment Lower body,1009,Trousers,"Trousers in woven fabric with a high, paper bag waist with a tie belt. Zip fly, side pockets, welt back pockets and straight, wide legs."
501396,CS Rosie,275,Skirt,Garment Lower body,1012,Skirts,"Short skirt in a light weave with a sewn-in wrapover, concealed zip in the side and wide flounced hem."
501509,Christmas Fun,252,Sweater,Garment Upper body,1001,Unknown,"Christmas jumper in a soft jacquard knit with ribbing around the neckline, cuffs and hem."
501616,FRAME Easy Iron,259,Shirt,Garment Upper body,1011,Shirts,"Long-sleeved shirt in a cotton blend with an easy-iron finish. Turn-down collar, classic front, narrow cuffs with adjustable buttoning, darts at the back and a rounded hem. Slim fit with narrow shoulders and a tapered waist for a fitted silhouette."
501619,Victory voile shirt,259,Shirt,Garment Upper body,1011,Shirts,"Shirt in an airy cotton weave with a turn-down collar, open chest pocket and yoke at the back. Long sleeves with a tab and button and adjustable buttoning at the cuffs, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
501620,BORIS SS SHIRT,259,Shirt,Garment Upper body,1011,Shirts,"Short-sleeved shirt in a cotton weave with a turn-down collar and classic front. Yoke at the back, a chest pocket, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently shaped waist to create a comfortable, tailored silhouette."
501722,Arthur slim fit shirt,259,Shirt,Garment Upper body,1011,Shirts,"Shirt woven in a stretch cotton blend with a narrow turn-down collar, long sleeves with adjustable buttoning at the cuffs, darts at the back, and a rounded hem. Slim fit with narrow shoulders and a tapered waist to create a fitted silhouette."
501820,SIRPA,252,Sweater,Garment Upper body,1003,Knitwear,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem."
501914,TITAN shell ski jkt,262,Jacket,Garment Upper body,1001,Unknown,"Shell jacket in windproof, breathable functional fabric with taped seams, waterproof zips and a hood with a reinforced peak and elasticated drawstring. Zip down the front, zipped side pockets and zips at both sides that open for ventilation. Snow flaps with reinforced elastication and adjustable press-stud fastenings at the waist, and an adjustable hook and loop tab at the cuffs. Slightly longer at the back. Unlined. The jacket has a water-repellent coating without fluorocarbons."
502186,Tuck cropped sweater,252,Sweater,Garment Upper body,1003,Knitwear,"Jumper in a soft, loose knit with low dropped shoulders and ribbing at the cuffs and hem. Longer at the back."
502224,Duffy,87,Boots,Shoes,1020,Shoes,"Warm-lined Chelsea boots with elastic gores in the sides and a loop at the back. Faux fur linings, imitation leather insoles and chunky thermoplastic rubber (TPR) soles. Heel 3.5 cm."
502522,Marc dress,265,Dress,Garment Full body,1002,Jersey Basic,Short dress in cotton jersey with long sleeves.
502660,Bernard 5 pack,302,Socks,Socks & Tights,1019,Accessories,Sports socks in fast-drying functional fabric with a ribbed shaft and ribbed section over the foot for optimum fit and comfort.
502869,Odette velvet shorts C,274,Shorts,Garment Lower body,1025,Shorts,"Short crushed velvet shorts with an elasticated drawstring waist, pleats at the front and side pockets."
503095,Martin,264,Blazer,Garment Upper body,1008,Dressed,"Soft jersey jacket with a button at the front, notch lapels and flap front pockets. Decorative buttons at the cuffs and a single back vent. Lined."
503862,Hawaii trs,272,Trousers,Garment Lower body,1009,Trousers,"Pull-on trousers in a cotton weave with an elasticated drawstring waist, fake fly, side pockets, a back pocket and tapered legs."
504113,Zoo,265,Dress,Garment Full body,1013,Dresses Ladies,"Short dress in a viscose weave with a V-neck, narrow, adjustable shoulder straps and smocked back. Seam at the waist and a gently bell-shaped skirt. Unlined."
504152,Friend,245,Cardigan,Garment Upper body,1003,Knitwear,"Cardigan in a soft, fine-knit viscose blend with dropped shoulders and long sleeves. No buttons."
504154,Lady Di,252,Sweater,Garment Upper body,1003,Knitwear,"Wide, long-sleeved jumper in a soft, rib knit containing some wool."
504155,Kirsten,252,Sweater,Garment Upper body,1003,Knitwear,"Jumper in a cable-knit cotton blend with ribbing around the neckline, cuffs and hem."
504196,Cosmo maxi,265,Dress,Garment Full body,1013,Dresses Ladies,"Calf-length jersey dress in a viscose blend. Wide neckline, tie shoulder straps and a slit at the back."
504658,Birkir canvas (1),308,Hoodie,Garment Upper body,1007,Outdoor,"Short, padded jacket in cotton canvas with a pile-lined drawstring hood, zip down the front and ribbing at the cuffs and hem. Side pockets and one inner pocket with a hook and loop fastener. Quilted lining."
505083,Ronalda long shirt,259,Shirt,Garment Upper body,1010,Blouses,"Longer shirt in lightweight, checked viscose flannel with a collar and buttons down the front. Gathered yoke at the back and long sleeves with buttoned cuffs."
505091,Cannon top,258,Blouse,Garment Upper body,1010,Blouses,Sleeveless top in a Tencel™ lyocell weave with a V-neck and ties at the top. Gathered yoke at the back and a gently rounded hem.
505507,SLIM BASIC 5PKT 79,272,Trousers,Garment Lower body,1016,Trousers Denim,5-pocket slim-fit jeans in washed stretch denim with an adjustable elasticated waist and zip fly.
505512,Anthony solid,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Boxer shorts in cotton jersey with short legs, an elasticated waist and lined front."
505561,Crew,272,Trousers,Garment Lower body,1009,Trousers,"High-waisted trousers in washed stretch twill with back pockets and patch pockets with a decorative zip, a zip fly with a button and skinny legs."
505882,Kelly Strapless (Sofia) 2pk,-1,Unknown,Unknown,1017,"Under-, Nightwear","Strapless balconette bras in a soft cotton blend with lace details and underwired, padded cups that lift and shape. Silicone trim at the hem and a fastening at the back with three pairs of hooks and eyes."
506098,Liza Push Melbourne 2pk,306,Bra,Underwear,1017,"Under-, Nightwear","Push-up bras in microfibre with mesh details. Underwired, padded cups for a larger bust and fuller cleavage, adjustable shoulder straps and a hook-and-eye fastening at the back."
506110,Coated Leggings,273,Leggings/Tights,Garment Lower body,1002,Jersey Basic,Leggings in jersey with a sheen. Elasticated waist.
506166,HM+ Maja  SS tee,255,T-shirt,Garment Upper body,1005,Jersey Fancy,Short-sleeved jersey top.
506321,Simone Denim TRS,272,Trousers,Garment Lower body,1009,Trousers,"5-pocket, high-waisted jeans in washed stretch denim with hard-worn details and slim legs with raw-edge hems."
